Mint                                         Time to Peak
UZVcwne55XfnUvLuukthr8vY7rPUHoqRkoff1tzpump   180.619124
Bj5pW2VP9yyhB6prnBuuzJgoXvzG7xzedrjDZ1Jpump   189.760018
EnoXufKV3YQMD6AzWNGLYSZmLZyWt9cHczbfQazipump  203.57115
56LufdWtcNtH5WMK3GkjgXmJceWbLGyRwoBufQixpump  206.883298
GYkQf7iNAN1uibyifBKEUYoHDGyC4CdGhVjMwPc4MeJQ  208.282053
HEjteXiuWtJUYek6TNnGuCZGRkSYaLkkZhgg8hropump  215.921038
9nJCk2HAtX4Dkgct3i9p9G7pqKyQ7JV5BS9EdYnXpump  217.909992
Fkk5gDgbNVDKdvAJg2s24Wjot4MKVChMwYNxjGjFpump  222.481226
8t6LoxWP9CyctcKKDHTBYu1eh1toXtrSYZQAdSGXpump  226.085091
C9EC3Mi7Vww1MRMfBbSnrf4sbZEp7h8AeZ8e6kTopump  226.517341
62PwjXSnx2cwqYqUMKyqEzrLqAriaLedjfg6fX6Xpump  226.839782
DzKKCF1ezpJvQTsYs2j1stwrJhHbT9b9Bq9pys14pump  231.364558
7dBQFv7CZU5zr56NvmJiGMB5ScpdPGa4hA1xyqmMruqv  232.17525
FuZq7CPkWKLnf3gxXs1CMaaVnjFgbSHffLihhwcMfwrm  239.070042
FNCGraJEA3ma1DLJZna6py819ax7PBn8uQn4zvb5pump  242.531038
9EZf57gzbjxTiVJyRtoF2cvEfv3gkSDD1NLEuxP8Dimx  245.64587
EH8gVCn5K1SGG6DmjKcotbPLE5oWTUHivCPsUpi9iAMS  247.514517
Av4mFVvVr5ASZnvGyiTWxCNEEbS4S6hgbE12bHi2KRXU  256.093894
4LREn7CGA8U4zuPebgA53nfKqJrf3iP8getsMZGbpump  257.632906
8oYzgsBao26uVDfZ9iYiTcjQWoijTQeG7VGdhjo7pump  257.909028
6cXDoMTaVHoXMNPPzRDdPnChqFh1UEM8wnE6oB28pump  259.280117
5rFwx4mkBXmodMFugwZNJ1w3Dhy8ZEmwgcsS4UVGpump  269.800189
2UessowmqQXFHaLybjrif835UXhxjvwv3bbqiFdR9XEL  272.39576
5kCGGB8pSic8XDH5FNmmdsm3i34fDash7Fuj68d3pump  290.24596
ARoJhfzBab7MeZRqVXokyG3oQfsgyaPkqJcXtvcMpump  296.107042
AztM9dis47sEsZyak8pbaJmCQeGwPrJtB1atrakFpump  305.740292
Am6S2VZHUdEzbYQ2Lv3vGMJSdvYHjo6po3sgc9zAEju8  320.225704
7kbzdYekFWwgatuK9rEr6aKJKoKqrkhcB1qsCVVRpump  324.467452
GvLABAqjgBTeR2H7zk2DYhAhk2BSiYc35hphhb12pump  357.342207
73ymRVAaNzB6GoCAL4jn8SnopNtxGxaXEeSEB3jLpump  370.767119
3umusbLRB7DDSbZyM8ZovVSw3jnRsNTF3tZEc4P9pump  375.433314
8HVzzV59YNX1b6qMjgLPBpuuEvJM4ievFJirbZjZpump  383.853011
DdoVdDgV2ByzuKf45B7HtH5V2Qrc8LF3LhbbzAcTpump  411.459485
B3MUit5g3dFyZqwr2Cj7kiU8GA8NHxWA48ssZWPUpump  412.395623
4G7DkFdxqbRDojC4oTAtHfKsk4kD7kzyJpZJq2A1pump  420.342363
3ZdoGaUvTgvXUcpWxfFWZGoTDPRyNSqoK8m8rpXGpump  428.916682
2KnYGmuLD5pCB9jEEMrmM85UyHiBYfy8dKdpP4zrk4vp  436.509758
3RhZRzUcKZ3GcrkYykkUF46SBmDzjmHvmLPp8Uw1pump  437.30803
892K9LuhoQpfiznMnQ2KKZCBWS3rdEZtuELgcdJ7hQPx  440.230012
B44FY9HKmaFLgzfsmbfXM4A91YgrFpMyQSatn71Qpump  444.981794
EuRf69aDievjWPQ9aRui1nHt1yKkWs1KfbnWiF9xAP4T  445.932559
7tp3sRGJu5ikZ8rFDm18vSaegaTsKn7Gp6ww6Wywpump  462.284847
4nrKF6bUNnnwb9V1rYPR5mNnPwem5iMbiN5HMY7Tpump  492.081649
3gdPjDVLbk8oHtqj6mkXVj3B9a32KgbvKufchvsDpump  498.526027
EyVtpwvZsjXWD7bLkhYmc8DacYK2xRqkPwp17uFopump  507.468533
47UQFFRzVcXTR2TqcUm6VRHita54m8D75MSVRgvnpump  518.06795
2nYsNqEYMZNGrLBwSrfyWKwKk59NUC1muEopNgd9pump  532.686172
V1PqeXQGtyo123n2E9TowPG3ExxhxbgkmBaLAGBjJgt   532.811622
5RVBfBgnxpwaJG4sfB8k7apBYxP4j9GLYuPSKXdupump  561.6041
3TuEeJTZEaASyJHcJdAfKhMqUsQsRD3Gdx6T71pJpump  570.160123
9uxPt51Tp1ko6RUkSYodU3YUXEKSjrftSMWRa43spump  579.830548
954Y65LuvMMn8i8qUCWf3HHLLmda3ZNDWHHTLS5Rpump  595.496701
F2NHiHBKkJw4tVXxdFwEv9tsXwcTrPeUDJC3oeu6pump  596.531212
5FyqkMnqm5uBg7pcabyuNno5Tw53nDoWo6qvFC9Vpump  607.382648
AXDumrskcASHkZ1XhdFGfwNAQCi8XQaQKn2xd2YDpump  623.750648
6g4JQFv8hdEG8nsjoEXbMLKtXcKVB3jEMY5QKLrAHPp9  651.119535
ibdaCNKBGc12zQJyyfp86xAFXhB2cHAJEKyES6jpump   661.21153
7NMJ9KcKh8iaLxf45T6giBJLc32nccMEyXZH8N5Mpump  678.110526
89E8sJY1TkLZSspSf4UjkCjYjHwWTZCTiQ2TpDSrpump  697.600223
9TZVnrUbvSjoc9hWec5KnybaRVvbgvdmaQ4F2R2Fpump  767.165172
96xxPFK9fT9HJ52iU1KB4RfjjgZUcfNyxW3hjiDPpump  768.807233
6mAp8omCFsrf8vHhonpz9r9oGseEx8oqrXRTaFxqpump  774.986185
HJjYiUSJBGDpsBjw6GpJ9jrqV4vXiwWgmVS9iDT8pump  784.190417
FLAMepyoAVo9GVUriU3DH2guPtdz89jjm8S7QcNavgDw  785.230235
4YZbNRwWRWJQRTGiDyBuJr8U2RKSEpaudwXKPjdZpump  790.115893
FzP9jERTesaLMxaZJpCj3qAKUfEnTagJcDa559nrpump  832.485522
7shPUE791XoPPb8u9pv5GAT46wvR9UKdK34dz6hTz34j  846.084065
7vUVL3gpsPvUCzBLg4XfRxYn3BrDFHs3mDYpS52fpump  852.783937
CwU72ARJNmNUVHmybm1CQ4qM9NH2c7bXSfAiUjtppump  880.160911
54opoXbTJ3L3HrNGgSRbUcBBn9ebWdG8uosaAjTmpump  969.613173
8Raa1CGNP8ERXnuubJ3T6zzAbBtcnvEpnhbQCTMBpump  986.388609
4PfQFRfoeNboKXVTvPpYdyomTRhVf4MxCczhwSMHpump  986.778124
6GFH2XzUVeze2PAYCCt9WY4EZrfWB57e42SHiBJTpump  991.117955
FxNNFViJm6ScH3yajBrcUcUuQZ5qGtSM76FBWutMpump  996.060104
E7EYVtNwV2ALVa8amNbNvtJvVPPbik48q1AqqaeWpump  996.663383
BkZf9ofxKSg2qceXdQ22UkkXHJdzNbZ2DEP4Yjotpump  996.824289
3VGuhT5w5e37M7GqvJik5EGiTTbTokj9Qhqh8b1Wpump  999.654225
